epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,982.14,0.6346,1.50521,0.46228,0.87241,0.94737,0.89901,0.95483,0.70519,0.87888,0.83605,0.86356,0.45469,0.72816,1.88504,0.46833,0.85352,8.9803e-05,8.9803e-05,8.9803e-05
105,991.983,0.64067,1.49936,0.47866,0.87396,0.93285,0.91228,0.95395,0.71531,0.86394,0.84709,0.85489,0.45027,0.72076,1.91064,0.46312,0.85064,8.9704e-05,8.9704e-05,8.9704e-05
106,1000.39,0.62013,1.46337,0.45075,0.86535,0.95481,0.90477,0.95856,0.71023,0.87597,0.83347,0.84907,0.44031,0.72648,1.98287,0.46132,0.8521,8.9605e-05,8.9605e-05,8.9605e-05
107,1009.42,0.63251,1.48511,0.46622,0.87545,0.91886,0.92542,0.95555,0.71672,0.85508,0.85006,0.86047,0.45748,0.71802,1.88489,0.46008,0.84936,8.9506e-05,8.9506e-05,8.9506e-05
108,1019.11,0.63042,1.48979,0.46099,0.87321,0.92871,0.92189,0.95566,0.71561,0.86175,0.82515,0.8441,0.45005,0.71564,1.9333,0.45164,0.84617,8.9407e-05,8.9407e-05,8.9407e-05
109,1028.25,0.63759,1.5249,0.46443,0.87431,0.92884,0.91909,0.95216,0.71642,0.88049,0.87357,0.89007,0.48825,0.7238,1.66207,0.46015,0.85109,8.9308e-05,8.9308e-05,8.9308e-05
110,1037.37,0.63659,1.47893,0.46898,0.86996,0.92525,0.93565,0.95746,0.72334,0.87276,0.87944,0.88692,0.4903,0.71005,1.66811,0.45471,0.84576,8.9209e-05,8.9209e-05,8.9209e-05
111,1047.28,0.64518,1.53628,0.47099,0.87646,0.93229,0.92096,0.9605,0.71402,0.85683,0.84595,0.8586,0.44499,0.72716,1.96986,0.45619,0.85142,8.911e-05,8.911e-05,8.911e-05
112,1056.69,0.6441,1.50333,0.46934,0.87481,0.92108,0.92183,0.95099,0.71719,0.86932,0.86818,0.88072,0.47354,0.72417,1.79251,0.45473,0.8514,8.9011e-05,8.9011e-05,8.9011e-05
113,1065.8,0.61664,1.48344,0.45303,0.87272,0.92986,0.92084,0.96046,0.71537,0.87413,0.86671,0.88187,0.48787,0.71908,1.67833,0.45604,0.85141,8.8912e-05,8.8912e-05,8.8912e-05
114,1074.83,0.64047,1.51904,0.46707,0.87288,0.91776,0.9196,0.95734,0.70961,0.88372,0.83106,0.86629,0.45397,0.72134,1.87112,0.45606,0.85337,8.8813e-05,8.8813e-05,8.8813e-05
115,1083.23,0.62256,1.45375,0.45752,0.86434,0.93509,0.91471,0.95461,0.71089,0.85878,0.8448,0.86485,0.46216,0.72862,1.79846,0.4545,0.85458,8.8714e-05,8.8714e-05,8.8714e-05
116,1091.98,0.63685,1.47108,0.46883,0.87635,0.91906,0.92967,0.9556,0.7089,0.87968,0.83334,0.86807,0.4656,0.74331,1.7365,0.45049,0.85596,8.8615e-05,8.8615e-05,8.8615e-05
117,1101.61,0.63664,1.46798,0.46395,0.87341,0.93156,0.91765,0.95512,0.71536,0.85244,0.85771,0.86627,0.46093,0.72165,1.87699,0.45202,0.85438,8.8516e-05,8.8516e-05,8.8516e-05
118,1110.26,0.63145,1.45086,0.45697,0.8713,0.91419,0.93102,0.95575,0.72061,0.86237,0.87237,0.88332,0.46781,0.70833,1.87,0.43956,0.84473,8.8417e-05,8.8417e-05,8.8417e-05
119,1119.53,0.62164,1.47725,0.45895,0.86958,0.93578,0.93091,0.96141,0.72513,0.88269,0.85729,0.88085,0.46894,0.70188,1.841,0.44263,0.84511,8.8318e-05,8.8318e-05,8.8318e-05
