epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,2238.12,0.55781,1.41359,0.33135,0.85514,0.96115,0.958,0.97314,0.75756,0.89082,0.89035,0.88699,0.47968,0.69266,1.78731,0.35481,0.84958,9.1486e-05,9.1486e-05,9.1486e-05
88,2263.26,0.5598,1.3518,0.33764,0.85803,0.96935,0.95902,0.97784,0.75505,0.91197,0.90058,0.90284,0.49181,0.69913,1.78595,0.35899,0.846,9.1387e-05,9.1387e-05,9.1387e-05
89,2288.73,0.56363,1.4162,0.33521,0.86003,0.95816,0.94572,0.97526,0.75833,0.8843,0.87012,0.88161,0.47967,0.69979,1.83901,0.35651,0.84916,9.1288e-05,9.1288e-05,9.1288e-05
90,2315.28,0.56339,1.4552,0.33469,0.85847,0.96183,0.95508,0.97853,0.75712,0.90425,0.90142,0.91757,0.50334,0.69603,1.68534,0.35085,0.84887,9.1189e-05,9.1189e-05,9.1189e-05
91,2341.01,0.55888,1.38516,0.3334,0.85801,0.95451,0.95561,0.9743,0.75106,0.89066,0.89116,0.89997,0.49268,0.69954,1.79435,0.34793,0.85004,9.109e-05,9.109e-05,9.109e-05
92,2364.44,0.56072,1.36571,0.33741,0.85485,0.95337,0.9476,0.96908,0.75582,0.87565,0.87053,0.88039,0.47996,0.69128,1.81161,0.34952,0.85472,9.0991e-05,9.0991e-05,9.0991e-05
93,2390.6,0.55579,1.41495,0.32593,0.85581,0.95164,0.94842,0.96961,0.75118,0.8982,0.89755,0.89644,0.5074,0.71299,1.63381,0.35207,0.86613,9.0892e-05,9.0892e-05,9.0892e-05
94,2417.14,0.56069,1.39747,0.33338,0.85838,0.96613,0.95782,0.97272,0.76174,0.89497,0.88771,0.8895,0.48576,0.68982,1.78823,0.34739,0.85386,9.0793e-05,9.0793e-05,9.0793e-05
95,2443.8,0.55775,1.39244,0.32817,0.85753,0.97143,0.96102,0.97791,0.75982,0.89235,0.88276,0.888,0.48616,0.69853,1.79039,0.34663,0.85442,9.0694e-05,9.0694e-05,9.0694e-05
96,2469.3,0.55354,1.37955,0.33095,0.8577,0.9604,0.9522,0.9745,0.7595,0.87994,0.87365,0.87133,0.4665,0.69903,1.8766,0.35316,0.85281,9.0595e-05,9.0595e-05,9.0595e-05
97,2496.33,0.54692,1.4177,0.32854,0.85132,0.96475,0.95098,0.97533,0.76821,0.89338,0.88138,0.89169,0.48116,0.6955,1.86965,0.34704,0.84781,9.0496e-05,9.0496e-05,9.0496e-05
98,2522.54,0.54947,1.41698,0.32668,0.85089,0.96813,0.95887,0.97978,0.76359,0.87662,0.87325,0.87565,0.46883,0.70411,1.99373,0.35103,0.84449,9.0397e-05,9.0397e-05,9.0397e-05
99,2548.92,0.54987,1.40765,0.3256,0.85702,0.96909,0.95617,0.97839,0.77105,0.88309,0.87575,0.87834,0.48037,0.68235,1.80303,0.34193,0.84312,9.0298e-05,9.0298e-05,9.0298e-05
100,2574.86,0.54691,1.3949,0.32506,0.85355,0.96491,0.95683,0.97589,0.76373,0.88101,0.87713,0.88317,0.47917,0.7012,1.81524,0.34851,0.84675,9.0199e-05,9.0199e-05,9.0199e-05
101,2601.8,0.55475,1.41424,0.33288,0.85739,0.96318,0.9538,0.97414,0.76732,0.89932,0.89549,0.90367,0.49392,0.71024,1.71367,0.34977,0.84615,9.01e-05,9.01e-05,9.01e-05
102,2626.84,0.54206,1.37864,0.32571,0.84964,0.96143,0.96053,0.98089,0.76991,0.89175,0.88119,0.89904,0.49615,0.68951,1.78164,0.34344,0.84071,9.0001e-05,9.0001e-05,9.0001e-05
103,2652.73,0.54718,1.41874,0.32037,0.85123,0.96131,0.9583,0.98012,0.76112,0.88598,0.88805,0.89692,0.48147,0.7035,1.82847,0.35822,0.84462,8.9902e-05,8.9902e-05,8.9902e-05
104,2679.45,0.54711,1.41064,0.32784,0.85373,0.9528,0.95812,0.98102,0.76624,0.87592,0.8827,0.88639,0.47522,0.70085,1.88856,0.35808,0.83932,8.9803e-05,8.9803e-05,8.9803e-05
105,2704.79,0.54535,1.39586,0.32292,0.8471,0.96591,0.94972,0.978,0.76765,0.8946,0.88036,0.89673,0.50046,0.68202,1.73042,0.34825,0.83937,8.9704e-05,8.9704e-05,8.9704e-05
106,2730.53,0.54281,1.38034,0.32207,0.85381,0.96165,0.95849,0.98133,0.77219,0.88071,0.87799,0.87819,0.47612,0.67957,1.9177,0.34327,0.83929,8.9605e-05,8.9605e-05,8.9605e-05
107,2756,0.55014,1.37255,0.32485,0.85324,0.95609,0.95883,0.97875,0.76341,0.88971,0.89237,0.89676,0.50339,0.69875,1.68106,0.35293,0.84595,8.9506e-05,8.9506e-05,8.9506e-05
108,2780.62,0.5481,1.38576,0.32595,0.84947,0.95007,0.9554,0.97328,0.76234,0.89693,0.88983,0.91022,0.49318,0.69622,1.77756,0.35208,0.84484,8.9407e-05,8.9407e-05,8.9407e-05
109,2806.28,0.55268,1.36884,0.32955,0.85584,0.96163,0.9532,0.97387,0.76597,0.89018,0.88162,0.88833,0.48247,0.68616,1.79056,0.34544,0.84523,8.9308e-05,8.9308e-05,8.9308e-05
110,2831.31,0.53074,1.36075,0.31966,0.84634,0.96115,0.94758,0.97557,0.76064,0.88236,0.88324,0.8847,0.49241,0.68638,1.72859,0.34256,0.84571,8.9209e-05,8.9209e-05,8.9209e-05
111,2857.11,0.54021,1.36391,0.32373,0.85361,0.96406,0.95553,0.97525,0.76463,0.90344,0.89336,0.90979,0.50903,0.70108,1.6813,0.34743,0.84783,8.911e-05,8.911e-05,8.911e-05
112,2884.35,0.54497,1.39741,0.32333,0.84869,0.96484,0.96362,0.97856,0.76015,0.90717,0.908,0.91308,0.50025,0.70309,1.76218,0.34214,0.84485,8.9011e-05,8.9011e-05,8.9011e-05
113,2910.08,0.54268,1.3588,0.32767,0.85319,0.96515,0.95225,0.97655,0.76635,0.89876,0.8842,0.90071,0.49366,0.68256,1.78672,0.34059,0.83856,8.8912e-05,8.8912e-05,8.8912e-05
114,2934.93,0.53899,1.37801,0.31938,0.84626,0.97054,0.94974,0.97548,0.75829,0.89821,0.88523,0.89422,0.48734,0.69238,1.73084,0.345,0.8444,8.8813e-05,8.8813e-05,8.8813e-05
115,2959.8,0.53569,1.34397,0.31941,0.85162,0.96728,0.96015,0.98054,0.76861,0.89414,0.88865,0.89774,0.49538,0.68266,1.84174,0.34311,0.84341,8.8714e-05,8.8714e-05,8.8714e-05
116,2984.69,0.53453,1.36188,0.31858,0.84891,0.96585,0.94424,0.9741,0.76267,0.89753,0.886,0.89861,0.50074,0.69759,1.6908,0.35453,0.84758,8.8615e-05,8.8615e-05,8.8615e-05
117,3010.94,0.53197,1.37005,0.32031,0.85004,0.95559,0.95399,0.97788,0.7633,0.89371,0.89076,0.89844,0.48959,0.69237,1.83535,0.35213,0.84542,8.8516e-05,8.8516e-05,8.8516e-05
118,3035.34,0.53313,1.36429,0.32168,0.85035,0.97266,0.9512,0.97879,0.76609,0.90616,0.88848,0.90674,0.50935,0.70409,1.67136,0.35089,0.84587,8.8417e-05,8.8417e-05,8.8417e-05
119,3059.97,0.54314,1.35157,0.32052,0.85068,0.96962,0.94859,0.97545,0.76245,0.89411,0.8812,0.89145,0.4809,0.70042,1.84825,0.34386,0.85058,8.8318e-05,8.8318e-05,8.8318e-05
