epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,1455.29,0.57489,1.40972,0.35401,0.8594,0.94496,0.94048,0.96729,0.74514,0.89136,0.86862,0.88956,0.49238,0.70345,1.69754,0.38038,0.8474,8.9704e-05,8.9704e-05,8.9704e-05
106,1470.63,0.57333,1.39464,0.35248,0.85868,0.95172,0.94207,0.96855,0.74154,0.8971,0.8677,0.8828,0.47021,0.70531,1.89689,0.37937,0.84782,8.9605e-05,8.9605e-05,8.9605e-05
107,1485.77,0.56292,1.41096,0.34514,0.86034,0.95684,0.95626,0.97189,0.74724,0.88842,0.88285,0.89934,0.48257,0.70918,1.77472,0.37584,0.85467,8.9506e-05,8.9506e-05,8.9506e-05
108,1501.99,0.57365,1.43824,0.34975,0.86015,0.94519,0.94175,0.96927,0.74905,0.87089,0.87011,0.88699,0.47532,0.70804,1.86146,0.37402,0.85342,8.9407e-05,8.9407e-05,8.9407e-05
109,1516.13,0.5611,1.40519,0.34839,0.85658,0.95113,0.94807,0.97025,0.7586,0.89364,0.8897,0.89679,0.50151,0.68377,1.69466,0.36731,0.84195,8.9308e-05,8.9308e-05,8.9308e-05
110,1531.2,0.56376,1.41938,0.34246,0.85806,0.95354,0.94259,0.97033,0.75108,0.886,0.86916,0.88611,0.4803,0.69513,1.85972,0.378,0.84945,8.9209e-05,8.9209e-05,8.9209e-05
111,1546.51,0.5604,1.42722,0.34329,0.85393,0.94912,0.94403,0.97304,0.75299,0.88481,0.86929,0.88611,0.47486,0.69846,1.85451,0.37703,0.85089,8.911e-05,8.911e-05,8.911e-05
112,1561.18,0.5642,1.40789,0.34533,0.85708,0.95562,0.9344,0.96939,0.74506,0.87947,0.86812,0.87801,0.47098,0.70793,1.85182,0.38324,0.85832,8.9011e-05,8.9011e-05,8.9011e-05
113,1575.87,0.562,1.43552,0.3462,0.85726,0.94663,0.95072,0.96882,0.75466,0.89084,0.8536,0.87481,0.47068,0.67039,1.86511,0.37411,0.84539,8.8912e-05,8.8912e-05,8.8912e-05
114,1590.88,0.56876,1.39816,0.34897,0.85528,0.94957,0.94633,0.97384,0.75447,0.89236,0.89413,0.89933,0.50174,0.68945,1.71878,0.37885,0.84718,8.8813e-05,8.8813e-05,8.8813e-05
115,1605.68,0.56683,1.41015,0.3443,0.85768,0.95076,0.95117,0.96961,0.75101,0.88423,0.87563,0.87565,0.4692,0.70725,1.99899,0.37996,0.85373,8.8714e-05,8.8714e-05,8.8714e-05
116,1619.66,0.55384,1.40807,0.34113,0.85193,0.95778,0.95078,0.97078,0.75098,0.88729,0.8831,0.88006,0.46935,0.69907,1.81859,0.37668,0.85158,8.8615e-05,8.8615e-05,8.8615e-05
117,1634.54,0.55587,1.35637,0.34191,0.85452,0.9491,0.93954,0.96949,0.76068,0.88314,0.87551,0.88221,0.47072,0.69655,1.88711,0.37498,0.85171,8.8516e-05,8.8516e-05,8.8516e-05
118,1649.66,0.56158,1.40149,0.35094,0.85878,0.95645,0.94392,0.97066,0.75955,0.89785,0.88299,0.89811,0.47808,0.69012,1.83024,0.37021,0.84854,8.8417e-05,8.8417e-05,8.8417e-05
119,1664.95,0.55894,1.40438,0.34594,0.85781,0.9567,0.94388,0.97179,0.75799,0.88661,0.87839,0.89025,0.48177,0.69043,1.844,0.36755,0.84325,8.8318e-05,8.8318e-05,8.8318e-05
